Year,Rank,TeamID,Team,Games,W,L,D,BA,ERA,WPCT,PS,oWAR,OPS,wRC+,R,pWAR_sum,FIP,WHIP,Total_RA,Pyth_WPCT
1995,8,SK,쌍방울 레이더스,126,45,78,3,254,4.67,369,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,1,HT,해태 타이거즈,126,73,51,2,245,3.14,587,1,24.04,0.5387741935483872,53.30967741935484,554.0,27.58,4.289333333333333,1.5333333333333334,441.0,612.1217318799032
1996,2,SK,쌍방울 레이더스,126,70,54,2,264,3.33,563,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,3,HH,한화 이글스,126,70,55,1,245,3.79,560,4,21.39,0.5390645161290322,42.03548387096774,522.0,14.77,4.542777777777777,1.596111111111111,532.0,490.5131879280037
1996,4,WO,현대 유니콘스,126,67,54,5,243,3.04,552,2,17.09,0.6038461538461538,70.86538461538461,492.0,21.85,3.703888888888889,1.4655555555555555,454.0,540.1044223291086
1996,5,LT,롯데 자이언츠,126,57,63,6,274,4.16,476,0,31.01,0.6056206896551724,71.2655172413793,566.0,15.58,4.043684210526315,1.5231578947368423,580.0,487.78541802360724
1996,6,SS,삼성 라이온즈,126,54,67,5,249,4.23,448,0,21.68,0.5299166666666667,44.87777777777777,510.0,12.370000000000001,4.929444444444445,1.6811111111111112,539.0,472.37573575931106
1996,7,LG,LG 트윈스,126,50,71,5,246,4.11,417,0,21.47,0.5901785714285713,59.28928571428571,525.0,6.79,4.764736842105263,1.6178947368421053,593.0,439.40128237350916
1996,8,OB,OB 베어스,126,47,73,6,242,3.69,397,0,13.129999999999999,0.5333076923076923,38.15769230769231,446.0,12.34,4.8910526315789475,1.546315789473684,520.0,423.84235781344796
1997,1,HT,해태 타이거즈,126,75,50,1,258,3.65,599,1,26.07,0.5576896551724138,41.351724137931036,616.0,22.86,4.548,1.4406666666666665,510.0,593.3116099284608
1997,2,LG,LG 트윈스,126,73,51,2,267,3.78,587,2,25.73,0.7000869565217391,94.05217391304348,590.0,19.81,4.999499999999999,1.356,512.0,570.427566677312
1997,3,SK,쌍방울 레이더스,126,71,53,2,269,3.82,571,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997,4,SS,삼성 라이온즈,126,66,53,7,277,4.23,552,3,36.8,0.61744,65.292,722.0,16.11,4.751666666666667,1.7044444444444444,589.0,600.415800415109
1997,5,OB,OB 베어스,126,57,64,5,254,3.84,472,0,15.99,0.6106551724137931,61.96551724137931,511.0,15.23,4.168235294117647,1.6647058823529413,551.0,462.3885734919794
1997,6,WO,현대 유니콘스,126,51,71,4,247,4.21,421,0,14.389999999999999,0.5575151515151515,46.64848484848485,497.0,11.61,4.671333333333333,1.4133333333333333,582.0,421.7092088026085
1997,7,HH,한화 이글스,126,51,73,2,253,4.06,413,0,16.61,0.6390625,70.73125,481.0,14.330000000000002,369.47352941176473,7.352941176470588,554.0,429.8177332480678
