Id,Name,Birthdate,Handedness,School,Draft,Year,Pos.,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
10676,강경학,1992년 08월 11일,우투좌타,대성초-광주동성중-광주동성고,11 한화 2라운드 16순위,9시즌,2B,516,2.77,-0.53,1390,1358,1167,185,277,36,12,13,376,104,14,11,162,21,1,304,22,32,8,0.237,0.339,0.322,0.661,0.136,75.4,2.25
10683,지석훈,1984년 03월 17일,우투우타,가동초-휘문중-휘문고,03 현대 2차 1라운드 6순위,16시즌,2B,1207,-1.21,0.33,2889,2838,2538,283,569,121,10,47,851,285,12,14,210,66,2,633,67,49,26,0.224,0.298,0.335,0.633,0.100,62.5,-0.88
10684,허도환,1984년 07월 31일,우투우타,서울학동초-서울이수중-서울고-단국대,03 두산 2차 7라 56순위,15시즌,C,885,-0.61,0.57,1801,1718,1515,134,316,75,2,13,434,142,2,6,126,69,0,444,49,83,8,0.209,0.297,0.286,0.583,0.078,56.0,-0.05
10688,김동길,1987년 03월 01일,우투우타,백운초-덕수중-성남고-중앙대,10 두산 육성선수,2시즌,SS,14,0.15,0.01,7,7,6,2,2,1,1,0,5,1,0,0,1,0,0,3,0,0,0,0.333,0.429,0.833,1.262,0.286,248.1,0.17
10689,안동현,1986년 12월 24일,우투우타,언북초-휘문중-휘문고-고려대,09 두산 육성선수,1시즌,SS,2,-0.06,0.00,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,0.000,-177.4,-0.05
10691,정범수,1992년 08월 08일,우투우타,미성초-성남중-성남고,11 넥센 육성선수,1시즌,2B,4,-0.14,0.04,8,8,7,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.000,0.125,0.000,0.125,0.000,-89.7,-0.10
10692,허일,1992년 11월 20일,우투좌타,광주서석초-충장중-광주제일고-영남사이버대,11 롯데 2라운드 12순위,4시즌,3B,142,-0.77,-0.46,276,274,251,20,58,8,0,2,72,23,2,1,21,2,0,62,5,2,0,0.231,0.296,0.287,0.583,0.073,50.8,-1.23
10694,모상기,1987년 01월 03일,우투우타,신일중-신일고,06 삼성 2차 6라운드 47순위,5시즌,1B,65,-0.44,-0.33,132,132,116,9,19,3,0,4,34,11,1,1,14,1,0,49,2,0,1,0.164,0.258,0.293,0.551,0.068,37.0,-0.77
10701,류은재,1983년 12월 13일,우투우타,대신초-경남중-경남고-단국대,06 KIA 육성선수,4시즌,LF,34,0.26,0.14,55,55,52,9,12,1,1,4,27,9,2,1,3,0,0,16,0,0,0,0.231,0.273,0.519,0.792,0.164,96.1,0.40
10702,유재혁,1992년 03월 29일,우투우타,신도초-상인천중-제물포고,11 KIA 6라운드 41순위,1시즌,RF,22,0.03,-0.24,15,15,11,3,1,0,0,0,1,1,1,0,3,0,0,5,0,0,1,0.091,0.267,0.091,0.358,0.200,47.3,-0.22
