Id,Name,Birthdate,Handedness,School,Draft,Year,Pos.,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,FIP,WHIP,WAR
10528,이승우,1988년 12월 08일,좌투좌타,청원초-청원중-장충고,07 LG 2차 3라운드 19순위,2시즌,P,26,21,5,2,0,0,2,12,0,0,95.1,66,69,69.00,440,117,,,9,47,6,0,55,,0,3,6.23,6.51,6.51,4.91,1.72,-0.64
10529,이재영,1979년 06월 13일,우투우타,방배초-선린중-선린고-영남대,02 두산 1차,12시즌,P,475,17,458,148,0,0,38,31,23,61,682.0,313,341,339.55,2955,613,,,73,354,31,18,550,,5,32,4.13,4.50,4.49,4.47,1.42,11.31
10531,정성훈,1977년 12월 09일,우언우타,본리초-대구중-대구고,96 삼성 2차 11라운드,8시즌,P,213,17,196,58,1,1,9,15,7,22,329.2,154,166,166.00,1427,327,,,23,115,55,9,166,,1,3,4.20,4.53,4.53,4.45,1.34,6.25
10532,정재복,1981년 02월 13일,우투우타,상인천초-상인천중-인천고-인하대,99 LG 2차 6라운드 47순위,9시즌,P,278,71,207,71,0,0,31,39,20,29,640.1,325,352,352.00,2769,648,,,58,253,17,17,383,,2,22,4.57,4.95,4.95,4.16,1.41,6.59
10533,정찬헌,1990년 01월 26일,우투우타,송정동초-충장중-광주제일고,08 LG 2차 1라운드 1순위,14시즌,P,407,94,313,149,3,2,50,63,46,28,830.0,448,477,483.25,3671,946,,,77,273,55,26,537,,0,43,4.86,5.17,5.24,4.55,1.47,7.85
10534,존슨,1982년 07월 19일,우투우타,-,09 LG 자유선발,1시즌,P,5,5,0,0,0,0,1,2,0,0,29.0,17,20,20.00,136,34,,,2,15,3,0,26,,0,4,5.28,6.21,6.21,4.15,1.69,0.12
10535,최동환,1989년 09월 19일,우투우타,인헌초-선린중-경동고,09 LG 2차 2라운드 13순위,14시즌,P,364,0,364,112,0,0,11,7,4,16,387.0,227,240,257.70,1730,415,,,55,162,31,5,247,,1,22,5.28,5.58,6.00,5.61,1.49,1.29
10536,최성민,1990년 07월 31일,좌투좌타,역삼초-서울이수중-서울고,09 LG 2차 4라운드 28순위,3시즌,P,33,7,26,4,0,0,4,4,0,1,62.1,29,32,32.00,287,50,,,1,61,7,2,34,,0,6,4.19,4.62,4.62,5.80,1.78,1.16
10537,최원호,1973년 03월 13일,우투우타,숭의초-상인천중-인천고-단국대,96 현대 1차,14시즌,P,309,202,107,44,1,1,67,73,3,3,1201.1,619,666,666.00,5303,1243,,,131,550,90,19,694,,1,34,4.64,4.99,4.99,4.84,1.49,13.24
10538,최유건,1988년 08월 02일,우투우타,화곡초-덕수중-덕수고,07 LG 2차 4라운드 30순위,2시즌,P,2,0,2,1,0,0,0,0,0,0,1.2,3,3,3.00,12,4,,,0,3,0,0,0,,0,0,16.20,16.20,16.20,8.97,4.20,0.03
10539,한희,1989년 11월 11일,우투우타,중앙초-군산남중-군산상고,09 LG 2차 1라운드 4순위,4시즌,P,103,12,91,27,0,0,4,7,0,11,174.1,94,97,97.00,772,168,,,23,75,22,2,124,,0,4,4.85,5.01,5.01,5.11,1.39,2.48
10580,구대성,1969년 08월 02일,좌투좌타,대전고-한양대,93 빙그레 1차,13시즌,P,569,43,526,376,9,0,67,71,214,18,1128.2,357,412,412.00,4601,855,,,87,415,57,48,1221,,3,35,2.85,3.29,3.29,2.70,1.13,31.09
10581,구본범,1987년 02월 08일,우투좌타,인헌초-성남중-성남고-원광대,09 한화 2차 1라운드 6순위,2시즌,P,6,0,6,2,0,0,0,0,0,0,4.2,5,5,4.50,25,8,2,0,1,2,0,0,3,1,0,2,9.64,9.64,7.71,6.49,2.14,-0.04
10582,김경선,1983년 08월 20일,우투우타,송정동초-무등중-진흥고-고려대,02 한화 2차 7라운드 52순위,2시즌,P,13,1,12,7,0,0,0,1,0,1,26.0,17,17,17.00,118,31,,,2,10,2,0,13,,1,0,5.88,5.88,5.88,4.45,1.58,0.01
10583,김경태,1991년 02월 28일,좌투좌타,축현초-대헌중-동산고,10 한화 7라운드 52순위,7시즌,P,69,3,66,12,0,0,1,4,0,8,64.0,40,44,47.15,314,69,,,5,55,7,0,59,,0,15,5.63,6.19,6.61,5.60,1.94,-0.10
10584,김백만,1982년 10월 12일,우투우타,양정초-개성중-부산고,01 한화 2차 1라운드,6시즌,P,78,14,64,27,1,0,4,7,0,5,151.1,96,102,102.00,666,169,,,28,45,8,2,106,,2,4,5.71,6.07,6.07,4.87,1.41,0.64
10585,김용주,1991년 10월 23일,좌투좌타,온양온천초-온양중-북일고,10 한화 1라운드 4순위,5시즌,P,28,7,21,6,0,0,1,4,0,0,34.2,36,38,34.10,176,42,,,5,32,1,0,27,,0,1,9.35,9.87,8.83,6.81,2.13,0.06
10586,김주,1989년 03월 02일,,부곡초-수원북중-유신고,08 한화 육성선수,1시즌,P,3,0,3,2,0,0,0,0,0,0,2.2,3,3,3.00,14,5,,,1,1,0,0,1,,0,0,10.13,10.13,10.13,8.34,2.25,-0.04
10587,김혁민,1987년 05월 24일,우투우타,군산남초-군산남중-성남서고-영남사이버대,07 한화 2차 1라운드 5순위,8시즌,P,194,105,89,38,1,0,30,59,2,14,676.1,430,455,456.85,3033,734,,,98,310,47,8,471,,1,58,5.72,6.05,6.08,5.25,1.54,1.99
10588,김회권,1986년 04월 10일,우투좌타,온양온천초-온양중-북일고-영남사이버대,05 LG 2차 8라운드 58순위,4시즌,P,14,3,11,3,1,1,0,4,0,0,26.1,19,19,19.00,126,34,,,2,14,2,0,15,,0,1,6.49,6.49,6.49,4.57,1.82,-0.03
10589,데폴라,1982년 12월 31일,우투우타,-,10 한화 자유선발,2시즌,P,58,22,36,19,0,0,7,15,3,1,176.0,94,103,103.00,775,184,,,11,82,15,0,102,,4,8,4.81,5.27,5.27,4.71,1.51,1.80
10590,류현진,1987년 03월 25일,좌투우타,창영초-동산중-동산고-대전대,06 한화 2차 1라운드 2순위,9시즌,P,244,235,9,31,27,8,117,67,1,0,1566.2,513,563,561.45,6407,1407,,,116,441,30,22,1495,,3,39,2.95,3.23,3.22,2.96,1.18,47.69
10592,마일영,1981년 05월 28일,좌투좌타,대전신흥초-충남중-대전고-경기대,00 쌍방울 2차 1라운드 1순위,14시즌,P,427,142,285,59,3,1,50,55,5,37,1017.0,550,611,611.80,4573,1101,,,92,506,61,6,591,,3,59,4.87,5.41,5.42,4.87,1.58,9.97
10593,문동환,1972년 05월 08일,우투우타,대연초-대천중-동래고-연세대,95 롯데 1차 지명,10시즌,P,228,154,74,70,19,6,77,64,17,1,1108.1,466,526,526.00,4743,1124,,,89,395,37,18,659,,2,31,3.78,4.27,4.27,4.03,1.37,22.82
10594,문용민,1980년 12월 06일,좌투좌타,천안남산초-천안북중-북일고-연세대,99 한화 고졸우선 지명,3시즌,P,59,0,59,2,0,0,1,1,0,4,30.1,13,14,14.00,133,28,,,4,17,1,1,16,,0,0,3.86,4.15,4.15,5.29,1.48,0.75
10595,박성호,1986년 07월 04일,우투우타,명서초-대천중-부산고-고려대,09 한화 2차 4라운드 27순위,5시즌,P,87,1,86,31,0,0,0,2,0,1,116.2,84,90,93.65,552,145,,,15,65,6,4,103,,0,14,6.48,6.94,7.25,4.94,1.80,-0.24
10596,박정진,1976년 05월 27일,좌투좌타,청주중앙초-청주중-세광고-연세대,99 한화 1차,16시즌,P,691,15,676,128,0,0,45,43,35,96,789.1,399,446,454.80,3448,727,,,82,380,25,16,722,,1,60,4.55,5.09,5.19,4.24,1.40,10.33
10597,송진우,1966년 02월 16일,좌투좌타,세광중-세광고-동국대,88 빙그레 1차 1순위,21시즌,P,672,377,295,252,64,11,210,153,103,17,3003.0,1170,1341,1341.00,12708,2719,,,272,1155,117,55,2048,,6,102,3.51,4.02,4.02,3.89,1.29,62.24
10598,송창식,1985년 03월 25일,우투우타,서원초-세광중-세광고,04 한화 2차 1라운드 2순위,13시즌,P,431,45,386,98,1,0,43,41,22,51,707.1,417,433,446.25,3156,707,,,102,326,51,19,548,,3,46,5.31,5.51,5.67,5.17,1.46,4.91
10599,신주영,1984년 02월 15일,우언우타,우암초-청주중-청주기공고,02 한화 1차,6시즌,P,85,0,85,21,0,0,5,3,2,3,96.2,54,59,59.00,434,112,,,12,32,8,2,53,,0,2,5.03,5.49,5.49,4.77,1.49,1.11
10600,안영명,1984년 11월 19일,우투우타,천안남산초-천안북중-북일고-대전대,03 한화 1차,18시즌,P,575,95,480,125,1,0,62,57,16,62,1048.1,571,622,622.60,4667,1152,,,152,413,69,16,750,,7,33,4.90,5.34,5.35,5.08,1.49,11.80
10601,양승진,1987년 04월 19일,좌투좌타,삼전초-춘천중-춘천고-영남사이버대,06 한화 2차 2라운드 10순위,5시즌,P,27,11,16,2,0,0,1,5,0,0,51.1,52,56,56.00,272,70,,,10,43,6,0,41,,0,5,9.12,9.82,9.82,7.00,2.20,-0.84
10602,양훈,1986년 05월 29일,우투우타,영랑초-설악중-설악고-영남사이버대,05 한화 2차 1라운드 4순위,11시즌,P,314,89,225,79,2,2,37,54,11,22,740.0,430,468,463.05,3299,821,,,66,337,36,14,412,,1,29,5.23,5.69,5.63,4.79,1.56,5.66
10603,연지,1977년 01월 05일,우투우타,-,09 한화 자유선발,1시즌,P,12,11,1,1,0,0,1,7,0,0,61.1,48,49,49.00,290,81,,,13,27,4,2,56,,0,2,7.04,7.19,7.19,5.36,1.76,-0.05
10604,유원상,1986년 06월 17일,우투우타,둔촌초-잠신중-북일고,06 한화 1차,15시즌,P,467,78,389,91,1,1,35,53,8,66,848.1,478,517,540.40,3789,930,,,99,381,31,12,516,,0,61,5.07,5.48,5.73,5.13,1.55,4.86
10605,윤경영,1980년 08월 12일,우투우타,유천초-한밭중-대전고-동의대,99 LG 2차 7라운드 55순위,3시즌,P,10,1,9,3,0,0,0,1,0,0,13.2,18,18,18.00,72,20,,,2,11,2,0,8,,0,0,11.85,11.85,11.85,6.69,2.27,-0.22
10606,윤규진,1984년 07월 28일,우투우타,대전신흥초-충남중-대전고-대전대,03 한화 2차 2라운드 13순위,15시즌,P,418,66,352,130,1,0,42,43,30,37,814.0,454,501,495.05,3656,890,,,100,391,53,18,665,,0,52,5.02,5.54,5.47,4.94,1.57,10.87
10607,윤근영,1986년 05월 07일,좌투좌타,대전유천초-한밭중-대전고,05 한화 1차,11시즌,P,269,22,247,34,0,0,8,17,2,22,319.1,208,229,228.30,1497,377,,,29,190,24,4,202,,1,33,5.86,6.45,6.43,5.40,1.78,0.28
10608,윤기호,1988년 07월 28일,좌투좌타,우암초-청주중-북일고,08 한화 2차 1라운드 7순위,6시즌,P,18,0,18,4,0,0,0,0,0,0,10.2,12,12,11.90,56,16,,,1,9,0,1,4,,0,1,10.13,10.13,10.13,6.19,2.34,-0.03
10609,이태양,1990년 07월 03일,우투좌타,여수서초-여수중-효천고,10 한화 5라운드 36순위,13시즌,P,422,113,309,61,0,0,38,55,1,33,925.2,510,549,559.85,4061,1048,,,141,289,36,14,624,,1,28,4.96,5.34,5.44,5.21,1.44,10.44
10610,장민재,1990년 03월 19일,우투우타,광주화정초-무등중-광주제일고,09 한화 2차 3라운드 22순위,12시즌,P,313,113,200,66,1,0,35,54,0,4,780.1,443,484,490.95,3521,946,,,99,290,30,6,524,,1,42,5.11,5.58,5.66,5.05,1.58,6.61
10611,정대훈,1985년 03월 08일,우언우타,하단초-경남중-부경고-동의대,08 한화 2차 5라운드 39순위,6시즌,P,152,1,151,40,0,0,7,3,1,5,145.0,86,95,108.05,663,179,,,13,53,22,4,61,,1,5,5.34,5.90,6.70,5.67,1.60,0.36
10613,정민철,1972년 03월 28일,우투우타,대전신흥초-충남중-대전고,92 빙그레 고졸연고 지명,16시즌,P,393,370,23,77,61,20,161,128,10,0,2394.2,935,1030,1030.00,9932,2194,,,215,655,93,24,1661,,8,55,3.51,3.87,3.87,3.53,1.19,51.74
